ID,Nombre,Inteligencia,Fuerza,Velocidad,Durabilidad,Potencia,Combate,Genero,Etnia,Altura,Peso,Color_Ojos,Color_Pelo,Nombre Completo,Alias,Lugar de nacimiento,Primera aparición,Editor,Alineación
11,Agent Zero,75,28,38,80,72,95,Male,null,191 cm,104 kg,-,-,Christoph Nord,Maverick,Unrevealed location in former East Germany,-,Marvel Comics,good
12,Air-Walker,50,85,100,85,100,40,Male,null,188 cm,108 kg,Blue,White,Gabriel Lan,-,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,bad
13,Ajax,56,48,35,80,34,55,Male,Cyborg,193 cm,90 kg,Brown,Black,Francis,"""Frankie"", the A-Man, the Attending",-,"Deadpool #14 (March, 1998)",Marvel Comics,bad
14,Alan Scott,63,80,23,90,100,32,Male,null,180 cm,90 kg,Blue,Blond,Alan Ladd Wellington Scott,"Green Lantern, White King, Sentinal",Gotham City,All-American Comics 16 (1940),DC Comics,good
15,Alex Mercer,50,80,42,90,100,50,Male,Human,0 cm,0 kg,-,-,Alexander J. Mercer,"Prototype, Zues, Blacklight",-,-,Wildstorm,bad
16,Alex Woolsly,Sin dato,37,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Alex Woolsly,-,-,Heroes S02E16 - Building 26,NBC - Heroes,good
17,Alfred Pennyworth,63,10,17,10,7,55,Male,Human,178 cm,72 kg,Blue,Black,Alfred Thaddeus Crane Pennyworth,Alfred Beagle,-,"Batman #16 (April, 1943)",DC Comics,good
18,Alien,50,28,42,90,57,60,Male,Xenomorph XX121,244 cm,169 kg,-,No Hair,Xenomorph,-,Your chest :),Alien (1979),Dark Horse Comics,bad
19,Allan Quatermain,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics),Wildstorm,good
20,Amazo,63,100,83,100,100,100,Male,Android,257 cm,173 kg,Red,-,,"Professor Ivos Amazing Android, Timazo, Humazo, Hourmazo",-,"Brave and the Bold #30 (July, 1960)",DC Comics,bad
21,Ammo,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,188 cm,101 kg,Brown,Black,,-,-,"Daredevil #252 (March, 1988)",Marvel Comics,bad
22,Ando Masahashi,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Ando Masahashi,"Huggerz69, Sidekick",-,-,NBC - Heroes,good
23,Angel,75,30,58,90,100,75,Male,Vampire,0 cm,0 kg,-,-,Liam,"Angelus, Twilight",-,-,Dark Horse Comics,good
24,Angel,63,13,46,64,28,42,Male,null,183 cm,68 kg,Blue,Blond,Warren Kenneth Worthington III,"Formerly Death, Dark Angel, Angel, Avenging Angel, Archangel","Centerport, Long Island, New York",X-Men #54-56 (1969),Archangel,good
25,Angel Dust,38,55,23,42,17,30,Female,Mutant,165 cm,57 kg,Yellow,Black,Christina,"Angel, Dusty",-,Morlocks #1,Marvel Comics,good
26,Angel Salvadore,38,10,28,28,56,60,Female,null,163 cm,54 kg,Brown,Black,Angel Salvadore Bohusk,Tempest,-,"New X-Men #118 (November, 2001)",Tempest,good
27,Angela,Sin dato,97,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Image Comics,bad
28,Animal Man,56,48,47,85,73,80,Male,Human,183 cm,83 kg,Blue,Blond,Bernhard Baker,The Human Zoo; A-Man; The Man with Animal Powers,-,"Strange Adventures #180 (September, 1965)",DC Comics,good
29,Annihilus,75,80,47,56,59,64,Male,null,180 cm,90 kg,Green,No Hair,Annihilus,"The Living Death That Walks, Lord of the Negative Zone","Planet of Arthros, Sector 17A, Negative Zone",Fantastic Four Annual #6 (1968),Marvel Comics,bad
30,Ant-Man,100,18,23,28,32,32,Male,Human,211 cm,122 kg,Blue,Blond,Hank Pym,"Hank Pym, Doctor Pym, Ant-Man, Goliath, Yellowjacket, Wasp, Earth's Scientist Supreme","Elmsford, New York","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)",Giant-Man,good
31,Ant-Man II,75,18,17,40,53,30,Male,Human,183 cm,86 kg,Blue,Blond,Scott Lang,"Myrmidon, Scott Edward Harris Lang","Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)",Marvel Comics,good
32,Anti-Monitor,88,100,50,100,100,90,Male,God / Eternal,61.0 meters,0 kg,Yellow,No Hair,,"Monitor, Mobius",Moon of Qward,Crisis on Infinite Earths #4,DC Comics,bad
33,Anti-Spawn,Sin dato,58,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Jason Wynn,Redeemer,-,Spawn #16,Image Comics,bad
34,Anti-Venom,75,60,65,90,96,84,Male,Symbiote,229 cm,358 kg,Blue,Blond,Eddie Brock,"Eddie, Edwin Brock, Venom, Lethal Protector, White Venom, 998th","San Francisco, California",Amazing Spider-Man #569 (as Anti-Venom),Toxin,-
35,Apocalypse,100,100,33,100,100,60,Male,Mutant,213 cm,135 kg,Red,Black,En Sabah Nur,"The Eternal One, the High Lord, Set, Huitxilopochti, Sauru, Kali-Ma","Akkaba, Egypt","X-Factor #5 (June, 1986)",Marvel Comics,bad
36,Aquababy,10,16,12,14,37,14,Male,null,0 cm,0 kg,Blue,Blond,"Arthur Curry, Jr.",-,-,"Aquaman #23 (October, 1965)",DC Comics,good
37,Aqualad,63,44,42,75,89,60,Male,Atlantean,178 cm,106 kg,Blue,Black,Garth,-,"Poseidonis, Atlantis","Adventure Comics #269 (February, 1960)",DC Comics,good
38,Aquaman,81,85,79,80,100,80,Male,Atlantean,185 cm,146 kg,Blue,Blond,Orin,"Dweller in the Depths, Swimmer, Waterbearer, Mental Man, Aquaboy, Water Wraith",Atlantis,"More Fun Comics #73 (November, 1941)",DC Comics,good
39,Arachne,50,48,50,70,71,70,Female,Human,175 cm,63 kg,Blue,Blond,Julia Carpenter,"Spider-Woman, Madame Web","Los Angeles, California",Marvel Super Heroes Secret Wars #6,Marvel Comics,good
40,Archangel,63,13,58,64,35,42,Male,Mutant,183 cm,68 kg,Blue,Blond,Warren Kenneth Worthington III,"War, Dark Angel, Death, Avenging Angel","Centerport, Long Island, New York","X-Men #1 (September, 1963)",Angel,good
41,Arclight,38,63,23,42,52,70,Female,null,173 cm,57 kg,Violet,Purple,Philippa Sontag,-,Vietnam,"(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)",Marvel Comics,bad
42,Ardina,63,100,100,80,100,25,Female,Alien,193 cm,98 kg,White,Orange,Ardina,-,-,The Order #4,Marvel Comics,good
43,Ares,75,82,35,80,84,101,Male,null,185 cm,270 kg,Brown,Brown,,"God of War, Mister Talon, Mars, Warhawk",-,Thor #129,Marvel Comics,good
44,Ariel,50,10,12,14,94,28,Female,null,165 cm,59 kg,Purple,Pink,Ariel,-,-,Fallen Angels #1 (1987),Marvel Comics,good
45,Armor,50,63,12,80,55,54,Female,null,163 cm,50 kg,Black,Black,Hisako Ichiki,"X-Girl, Kid",-,Astonishing X-Men #4 (2004),Marvel Comics,good
46,Arsenal,Sin dato,54,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,"Roy William Harper, Jr.",-,-,-,Speedy,good
47,Astro Boy,Sin dato,90,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Brown,Black,Atom,-,-,-,null,good
48,Atlas,63,80,25,100,98,50,Male,Mutant,183 cm,101 kg,Brown,Red,Erik Josten,"Power Man, Smuggler, Goliath, Shatterfist, Intruder from Beyond, Edward Jantzen","Milwaukee, Wisconsin",Incredible Hulk #449,Goliath,good
49,Atlas,63,100,42,100,27,80,Male,God / Eternal,198 cm,126 kg,Blue,Brown,,"Atlas the Great, Atlas the Untamed",Crystal Mountain,Action Comics #121,DC Comics,bad
50,Atom,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,178 cm,68 kg,Blue,Red,Albert Pratt,"Little Superman, the Mighty Mite",-,All American Comics #19,DC Comics,good
51,Atom,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,DC Comics,good
52,Atom Girl,38,10,23,28,38,42,Female,null,168 cm,54 kg,Black,Black,Salu Digby,Shrinking Violet,-,Teen Titans/Legion Special #1 (2004),DC Comics,good
53,Atom II,88,10,33,45,40,60,Male,Human,183 cm,81 kg,Brown,Auburn,Ray Palmer,"The Mighty Mite, the Tiny Titan, the World's Smallest Hero",-,Showcase #34,DC Comics,good
54,Atom III,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,Red,Adam Cray,-,-,Suicide Squad (Volume 1) #44,DC Comics,good
55,Atom IV,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,72 kg,Brown,Black,Ryan Choi,-,-,Brave New World #1,DC Comics,good
56,Aurora,63,10,96,60,74,56,Female,Mutant,180 cm,63 kg,Blue,Black,Jeanne-Marie Beaubier,Sister Beaubier,"Montreal, Quebec, Canada",X-Men #121 (1979),Marvel Comics,good
57,Azazel,50,11,47,95,100,80,Male,Neyaphem,183 cm,67 kg,Yellow,Black,,"Semihazah, Duma, Keriel, Mastema, Beliar, Gadreel, Beelzebub, Satan","Isla des Demonas, Caribbean Sea",Uncanny X-Men #428 (2003),Marvel Comics,bad
58,Azrael,63,18,17,20,35,80,Male,Human,0 cm,0 kg,Brown,Black,Michael Washington Lane,Bat-Devil; Bat-Ghost,Gotham City,"Batman #672 (February, 2008)",DC Comics,good
59,Aztar,Sin dato,98,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Aztar,Spirit of Vengeance,-,More Fun Comics #52 (February 1940),Spectre,good
60,Bane,88,38,23,56,51,95,Male,Human,203 cm,180 kg,-,-,,-,-,"Batman: Vengeance of Bane #1 (January, 1993)",DC Comics,bad
61,Banshee,50,10,58,40,63,70,Male,Human,183 cm,77 kg,Green,Strawberry Blond,Sean Cassidy,Death,"Cassidy Keep, Ireland","X-Men #28 (January, 1967)",Marvel Comics,good
62,Bantam,25,53,23,54,21,56,Male,null,165 cm,54 kg,Brown,Black,Roberto Velasquez,-,-,"Civil War: Front Line #3 (September, 2006)",Marvel Comics,good
63,Batgirl,88,11,33,40,34,90,Female,Human,170 cm,57 kg,Green,Red,Barbara Gordon,"Oracle, Bluebelle",-,Detective Comics #359,Oracle,good
64,Batgirl,Sin dato,27,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Mary Elizabeth Kane,"Bette Kane, Bat-Girl",-,Batman #139,Hawkfire,good
65,Batgirl III,Sin dato,43,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Helena Rosa Bertinelli,-,-,-,Huntress,good
66,Batgirl IV,69,12,27,56,46,100,Female,Human,165 cm,52 kg,Green,Black,Cassandra Cain,"Kasumi, various mundane persona,",League of Assassins (exact base is unknown),Batman: Legends of the Dark Knight #120,DC Comics,good
67,Batgirl V,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,Charlotte Gage-Radcliffe,-,-,-,Misfit,good
68,Batgirl VI,75,10,23,28,22,80,Female,null,168 cm,61 kg,Blue,Blond,Stephanie Brown,"Steph, Robin, Marion Todd, Spoiler",-,Detective Comics #647. As Batgirl in Batgirl (Volume 3) #1. (2009),Spoiler,good
69,Batman,81,40,29,55,63,90,Male,Human,178 cm,77 kg,Blue,Black,Terry McGinnis,"Batman II, The Tomorrow Knight, The second Dark Knight, The Dark Knight of Tomorrow, Batman Beyond","Gotham City, 25th Century",Batman Beyond #1,DC Comics,good
70,Batman,100,26,27,50,47,100,Male,Human,188 cm,95 kg,blue,black,Bruce Wayne,"Insider, Matches Malone","Crest Hill, Bristol Township; Gotham County",Detective Comics #27,DC Comics,good
71,Batman II,88,11,33,28,36,100,Male,Human,178 cm,79 kg,Blue,Black,Dick Grayson,Dick Grayson,-,-,Nightwing,good
72,Battlestar,50,53,35,74,48,74,Male,null,198 cm,133 kg,Brown,Black,Lemar Hoskins,Bucky,"Chicago, Illinois",Captain America #323 (1986); (as Bucky),Marvel Comics,good
73,Batwoman V,81,8,29,25,27,80,Female,Human,178 cm,0 kg,Green,Red,Katherine Rebecca Kane,-,-,"52 #7 (June, 2006)",DC Comics,good
74,Beak,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,175 cm,63 kg,Black,White,Barnell Bohusk,Blackwing,"Cheverly, Maryland",-,Marvel Comics,good
75,Beast,94,48,38,60,43,85,Male,Mutant,180 cm,181 kg,Blue,Blue,Henry Philip McCoy,"Dr. McCoy, Hanko, Kreature, Mutate #666, Magilla Gorilla, Golden Armed Boy","Dunfee, Illinois","X-MEN Vol. 1 #1, (in furry ape form) AMAZING ADVENTURES #11, (in current feline form) NEW X-MEN Vol. 1 #114",Marvel Comics,good
76,Beast Boy,50,28,50,70,79,40,Male,Human,173 cm,68 kg,Green,Green,Garfield Mark Logan,"Changeling, Beast-Brat, Green Jeans, Salad-head, Sprout, Tork, Craig Logan",-,"Doom Patrol #99 (November, 1965)",DC Comics,good
77,Beetle,Sin dato,54,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,bad
78,Ben 10,10,7,8,10,90,40,Male,null,0 cm,0 kg,-,-,Benjamin Kirby Tennyson,Ben Ten,-,Ben 10 S01E01,DC Comics,good
79,Beta Ray Bill,63,80,35,95,100,84,Male,null,201 cm,216 kg,-,No Hair,Beta Ray Bill (translation of his Korbinite name),"Beta Ray Thor, Simon Walters",Burning Galaxy,Thor #337,Marvel Comics,good
80,Beyonder,100,100,100,100,100,84,Male,God / Eternal,0 cm,0 kg,-,-,,"Ataxi, The Beyond Realm, Frank, Goblin Force, Goblin King, Goblyn King, Goblin Queen, The One From Beyond, God, Kosmos, Maker",Created in the Beyond,Marvel Super-Heroes Secret Wars #1,Marvel Comics,good
81,Big Barda,88,100,79,100,100,100,Female,New God,188 cm,135 kg,Blue,Black,Barda Free,"Barda, the Strongest Woman in the World",-,Mister Miracle (Volume 1) #4,DC Comics,bad
82,Big Daddy,38,10,12,32,22,64,Male,null,0 cm,0 kg,-,-,Damon Macready,-,-,Kick-Ass #4,Icon Comics,good
83,Big Man,75,12,23,28,19,70,Male,null,165 cm,71 kg,Blue,Brown,Frederick Foswell,Patch,-,Amazing Spider-Man # 10 (1964),Marvel Comics,bad
84,Bill Harken,63,36,33,60,27,40,Male,Alpha,0 cm,0 kg,-,-,,-,-,-,SyFy,good
85,Billy Kincaid,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Billy Kincaid,-,-,Spawn #5 (October 1992),Image Comics,bad
86,Binary,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,180 cm,54 kg,Blue,Blond,Carol Danvers,"Ms. Marvel, Binary","Boston, Massachusetts","(as Carol Danvers) MARVEL SUPER HEROES #13, (as Ms. Marvel) MS. MARVEL #1, (as Binary) X-MEN # 164, AVENGERS Vol. 3, # 4",Captain Marvel,good
87,Bionic Woman,56,37,33,40,20,40,Female,Cyborg,0 cm,0 kg,Blue,Black,Jamie Sommers,Clarissa Whyte,-,-,,good
88,Bird-Brain,25,10,35,28,21,42,-,null,0 cm,0 kg,-,-,,Bird-Boy,-,"The New Mutants #56 (October, 1987)",Marvel Comics,good
89,Bird-Man,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,Henry Hawk,-,-,"Daredevil #10 (October, 1965)",Marvel Comics,bad
90,Bird-Man II,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,Human,0 cm,0 kg,-,-,Achille DiBacco,-,"The Bar with No Name, Medina County, Ohio","Daredevil #157 (March, 1979)",Marvel Comics,bad
91,Birdman,Sin dato,35,Sin dato,Sin dato,Sin dato,Sin dato,Male,God / Eternal,0 cm,0 kg,-,-,Ray Randal,"Bird-Man, Harvey Birdman, Ray Randal, Harvey Birdman Attorney at Law, Harry, Henry, Birdbath, Bootyliciuos",-,Birdman and the Galaxy Trio (1967),Hanna-Barbera,good
92,Bishop,63,14,23,75,100,65,Male,Mutant,198 cm,124 kg,Brown,No Hair,Lucas Bishop,Archbishop,A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth,"Uncanny X-Men #282 (November, 1991)",Marvel Comics,good
93,Bizarro,38,95,100,100,100,85,Male,Bizarro,191 cm,155 kg,Black,Black,Bizarro,-,-,Superboy Vol. 1 #68 (1958),DC Comics,neutral
94,Black Abbott,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Red,Black,,Lord Abbott,-,Marvel Team Up #146 (1984),Marvel Comics,bad
95,Black Adam,88,100,92,100,100,56,Male,null,191 cm,113 kg,Brown,Black,Teth-Adam,"Hassan Bari, Theo Adam, Mighty Adam, Khem-Adam","Kahndaq, Egypt","Marvel Family #1 (December, 1945)",DC Comics,bad
96,Black Bolt,75,67,100,84,100,56,Male,Inhuman,188 cm,95 kg,Blue,Black,Blackagar Boltagon,-,"Attilan, Atlantic Ocean","Fantastic Four #45 (December, 1965)",Marvel Comics,good
97,Black Canary,63,8,33,20,52,80,Female,Metahuman,170 cm,59 kg,Blue,Blond,Laurel Lance,Dinah Laurel Lance Queen; Dinah Laurel Lance-Windrow,-,Justice League of America (Volume 1) #75,DC Comics,good
98,Black Canary,63,8,33,15,45,80,Female,Human,165 cm,58 kg,Blue,Blond,Dinah Drake Lance,-,-,"Flash Comics #86 (August, 1947)",DC Comics,good
99,Black Cat,75,16,33,10,23,70,Female,Human,178 cm,54 kg,Green,Blond,Felicia Hardy,Felicity Harmon,"Queens, New York","Amazing Spider-Man #194 (July, 1979)",Marvel Comics,good
100,Black Flash,44,10,100,80,100,30,Male,God / Eternal,0 cm,0 kg,-,-,,"Barry Allen, Flashback, Slow Lightning, Black Racer, Death Flash, God of Death",-,Flash Vol 2 #138,DC Comics,neutral
101,Black Goliath,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
102,Black Knight III,63,10,8,70,43,70,Male,Human,183 cm,86 kg,Brown,Brown,Dane Whitman,"The Pendragon, Gann Josin, Eobar Garrington","Gloucester, Massachusetts",Avengers #47 (1967),Marvel Comics,good
103,Black Lightning,50,11,53,28,70,75,Male,null,185 cm,90 kg,Brown,No Hair,Jefferson Pierce,-,-,Black Lightning #1 (April 1977),DC Comics,good
104,Black Mamba,75,10,35,42,88,65,Female,null,170 cm,52 kg,Green,Black,Tanya Sealy,Tanya Sweet,"Chicago, Illinois",Marvel Two-In-One #64,Marvel Comics,bad
105,Black Manta,75,28,50,60,76,85,Male,Human,188 cm,92 kg,Black,No Hair,David,"Devil Ray, Scourge of the Seven Seas, Yellow Lantern",-,"Aquaman #35 (August, 1967)",DC Comics,bad
106,Black Panther,88,16,30,60,41,100,Male,Human,183 cm,90 kg,Brown,Black,T'Challa,"Mr. Okonkwo, The Man Without Fear, Luke Charles, Black Leopard, the Client, Coal Tiger, has impersonated Daredevil and others on occasion","Wakanda, Africa",Fantastic Four Vol. 1 #52 (1966),Marvel Comics,good
107,Black Widow,75,13,33,30,36,100,Female,Human,170 cm,59 kg,Green,Auburn,Natasha Romanoff,"Yelena Belova, Natasha Romanoff, Natasha, Tasha, Madame Natasha, Nancy Rushman, Laura Matthers, Nadine Roman, ""Oktober"", Black Pearl, Ebon Flame",-,Tales of Suspense #52,Marvel Comics,good
108,Black Widow II,Sin dato,48,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,170 cm,61 kg,Blue,Blond,Yelena Belova,-,-,-,Marvel Comics,good
109,Blackout,63,32,45,80,45,65,Male,Demon,191 cm,104 kg,Red,White,,-,-,"Ghost Rider Vol 3 #2 (June, 1990)",Marvel Comics,bad
110,Blackwing,38,10,35,32,20,56,Male,null,185 cm,86 kg,Blue,Black,Joseph Manfredi,"Blackwing, Joe Manfredi, Joe Silvermane, Guiseppi Manfredi",Professional Criminal,"Daredevil #118 (February, 1975)",Marvel Comics,bad
111,Blackwulf,50,28,8,30,69,25,Male,Alien,188 cm,88 kg,Red,White,Lucian,"Pelops, Black Wolf",Armechadon,"Thunderstrike #6 (March, 1994)",Marvel Comics,-
112,Blade,63,28,38,50,40,90,Male,Vampire,188 cm,97 kg,Brown,Black,Eric Brooks,"Switchblade, Frank Blade, Daywalker","Soho, London,England",Tomb of Dracula Vol. 1 #10 (1973),Marvel Comics,good
113,Blaquesmith,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,-,null,0 cm,0 kg,Black,No Hair,-,-,-,-,Vertigo II,good
114,Bling!,69,14,12,90,52,28,Female,null,168 cm,68 kg,-,-,Roxanne Washington,-,-,X-Men #171 (2005),Marvel Comics,good
115,Blink,50,8,20,28,77,64,Female,Mutant,165 cm,56 kg,Green,Magenta,Clarice Ferguson,-,Bahamas,"Uncanny X-Men #317 (October, 1994)",Marvel Comics,good
116,Blizzard,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,Brown,Gregor Shapanka,Jack Frost,-,Tales of Suspense #45,Marvel Comics,bad
117,Blizzard,Sin dato,72,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,bad
118,Blizzard II,38,10,27,42,47,56,Male,null,175 cm,77 kg,Brown,Brown,Donald Gill,-,"Newark, Delaware",Iron Man #223 (1987),Marvel Comics,bad
119,Blob,10,83,23,95,28,72,Male,null,178 cm,230 kg,Brown,Brown,Frederick J. Dukes,-,"Lubbock, Texas",X-Men #3 (1964),Marvel Comics,bad
120,Bloodaxe,63,80,33,80,100,84,Female,Human,218 cm,495 kg,Blue,Brown,Jackie Lukus,-,-,(as Jackie Lukus) Thor #392 (as Bloodaxe) Thor #449,Marvel Comics,bad
121,Bloodhawk,50,10,50,80,80,64,Male,Mutant,0 cm,0 kg,Black,No Hair,Lemuel Krug,Lemuel Halcon,-,X-Men (2099) #1,Marvel Comics,good
122,Bloodwraith,Sin dato,72,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,30.5 meters,0 kg,White,No Hair,Sean Dolan,"Black Wraith, Blood Wraith",-,(Dolan) Black Knight #2 (1990); (Bloodwraith) Avengers Annual #22 (1993),Marvel Comics,bad
123,Blue Beetle,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,Blue,Brown,Daniel Garrett,Daniel Garret (spelling variation),-,Mystery Men Comics #1,DC Comics,good
124,Blue Beetle,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,DC Comics,good
125,Blue Beetle II,Sin dato,45,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,183 cm,86 kg,Blue,Brown,Theodore Kord,-,"Chicago, Illinois",CAPTAIN ATOM Vol. 1 #83 (1966) (Published by Charlton Comics),DC Comics,good
126,Blue Beetle III,50,34,58,80,100,30,Male,Human,0 cm,0 kg,Brown,Black,Jaime Reyes,Scooter,Presumed to be El Paso,Infinite Crisis #3 (2006),DC Comics,good
127,Boba Fett,63,10,38,36,68,70,Male,Human / Clone,183 cm,0 kg,Brown,Black,,"Teff, Sava Brek Madak, Jaster Mereel, Mandalore, Mand'alor",Kamino,-,George Lucas,bad
128,Bolt,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
129,Bomb Queen,Sin dato,73,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,Bomb Queen (2006) #1,Image Comics,bad
130,Boom-Boom,38,10,12,42,57,64,Female,Mutant,165 cm,55 kg,Blue,Blond,Tabitha Smith,"Time Bomb, Boomer, Meltdown, Tabby, Firecracker, Mutate #35, Nancy Forrester",-,Secret Wars II #5,Meltdown,good
131,Boomer,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,0 cm,0 kg,-,-,,-,-,-,Marvel Comics,good
132,Booster Gold,69,85,42,70,100,40,Male,Human,196 cm,97 kg,Blue,Blond,Michael Jon Carter,"Bharjwarj, Bloodspot, Boosteroo, Booster, the Boy Wonder, Buster, Deathstroke, Goldstar, Greatest Hero You've Never Heard Of, Guardian of the Multiverse, Jesus Alvarez, Kid, Killer Moth, The King, Loser Gold, Major Idiot, Man of Gold, Michael Carter, Blac","Gotham City, 25th Century",Booster Gold #1,DC Comics,good
133,Box,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Male,null,0 cm,0 kg,-,-,Roger Bochs,Omega,-,-,Marvel Comics,good
